domain_length,num_hyphens,entropy_domain,domain_age_days,expiration_days,is_suspicious_tld,Num_Digits,Contains_Brand_Keyword,Typosquat_Similarity,SSL_Cert_Age_Days
5,0,2.321928094887362,51,313,0,2,0,0.4,-1
8,1,2.75,3061,224,0,0,0,0.667,6
8,0,2.75,356,9,0,0,0,0.667,-1
17,0,3.175123135113461,6220,353,0,0,1,1.0,22
15,1,3.32323142879762,0,0,0,0,0,0.667,-1
5,1,2.321928094887362,0,0,0,0,0,0.462,42
9,1,2.725480556997868,3932,1181,0,0,0,0.429,2
3,0,1.584962500721156,0,0,0,0,0,0.4,43
2,0,1.0,10883,2632,0,0,0,0.286,-1
14,0,3.039148671903071,0,0,0,11,0,0.0,-1
8,0,2.75,0,0,0,0,0,0.5,22
8,1,2.4056390622295662,2774,1608,0,0,0,0.667,18
10,1,2.846439344671015,4721,26,0,0,0,0.429,26
8,0,2.4056390622295662,2439,117,0,0,0,0.429,-1
8,1,2.75,1381,79,0,0,0,0.429,0
9,0,2.197159723424149,11825,591,0,0,0,0.667,29
6,1,2.584962500721156,0,0,0,0,0,0.667,-1
15,1,3.189898095464287,4399,348,0,0,0,0.625,-1
10,3,2.9219280948873623,0,0,0,0,0,0.5,32
5,0,2.321928094887362,0,0,0,0,0,0.462,42
8,0,2.5,2127,64,0,4,0,0.4,21
9,3,2.94770277922009,0,0,0,1,0,0.667,11
3,0,1.584962500721156,1693,151,0,1,0,0.25,59
5,0,1.9219280948873625,10795,893,0,0,0,0.615,138
7,2,2.5216406363433186,4606,1237,0,0,0,0.4,-1
10,0,3.121928094887362,1341,119,0,0,0,0.667,-1
16,1,3.577819531114783,58,307,0,7,0,0.5,-1
4,0,2.0,0,0,0,0,0,0.4,0
12,0,3.084962500721156,0,0,0,0,0,0.667,-1
10,2,2.9219280948873623,4150,232,0,0,0,0.571,9
11,11,2.5503407095463886,7992,408,0,0,0,0.667,57
15,5,3.0565647621309537,0,0,0,0,0,0.667,-1
4,0,2.0,3866,151,0,0,0,0.444,-1
4,0,2.0,0,0,0,0,0,0.5,74
8,0,2.75,5414,429,0,2,0,0.6,49
5,1,2.321928094887362,6993,311,0,0,0,0.333,5
8,1,2.75,5049,2621,0,0,0,0.5,-1
10,3,2.846439344671015,4721,26,0,0,0,0.429,26
6,0,2.2516291673878226,0,0,0,0,0,0.429,4
5,0,2.321928094887362,9612,251,0,0,0,0.667,28
6,0,2.584962500721156,4641,471,0,0,0,0.364,30
4,0,2.0,5848,360,0,2,0,0.222,58
19,0,3.326360407952693,8982,879,0,0,0,0.667,-1
7,1,2.807354922057604,0,0,1,3,0,0.333,-1
19,1,3.576617644908665,0,0,0,0,0,0.5,-1
3,0,1.584962500721156,10723,232,0,0,0,0.444,-1
5,0,2.321928094887362,0,0,0,0,0,0.364,-1
13,4,3.3927474104487847,2690,1327,0,0,0,0.6,-1
10,3,2.9219280948873623,10000,225,0,0,0,0.5,15
4,0,2.0,4578,1265,0,0,0,0.444,54
13,1,3.238901256602631,0,0,1,0,0,0.5,-1
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
8,0,2.5,358,6,0,0,0,0.429,-1
6,0,2.584962500721156,0,0,0,0,0,0.4,25
11,0,2.231270254607576,6211,362,0,0,0,0.429,16
4,5,2.0,6679,260,0,1,0,0.364,23
2,0,1.0,1985,205,0,0,0,0.444,118
3,1,1.584962500721156,10329,282,0,0,0,0.364,362
9,0,2.94770277922009,6858,81,0,0,0,0.4,311
4,2,1.5,0,0,0,0,0,0.333,16
8,0,2.75,550,179,0,0,0,0.5,56
23,2,3.4314134569803287,6366,0,0,0,0,0.667,286
3,0,1.584962500721156,5091,0,0,0,0,0.25,-1
13,1,3.238901256602631,2534,2944,0,0,0,0.667,57
17,0,3.734521664779752,0,0,0,2,0,0.6,-1
13,0,3.180832987205441,5814,394,0,0,0,0.667,1
20,1,3.921928094887362,120,245,0,11,0,0.5,-1
3,0,0.9182958340544896,0,0,0,0,0,0.364,265
12,1,2.688721875540867,6185,388,0,0,0,0.5,323
8,0,2.5,8165,966,0,0,0,0.4,328
11,1,3.095795255000934,0,0,0,0,0,0.5,28
8,1,2.75,8374,2948,0,0,0,0.667,17
8,1,2.75,3251,35,0,0,0,0.4,320
9,0,2.725480556997868,906,1650,0,0,0,0.667,6
18,1,3.4613201402110083,0,0,1,0,0,0.5,-1
21,3,3.3087513512471665,5035,78,0,0,0,0.667,50
4,0,2.0,3993,24,0,0,0,0.364,22
11,3,3.277613436819116,9033,1558,0,0,0,0.5,-1
10,0,3.121928094887362,1241,219,0,0,0,0.667,55
9,0,2.94770277922009,2383,172,0,0,0,0.667,74
15,3,3.240223928941852,2452,104,0,0,0,0.667,51
13,0,3.238901256602631,7100,569,0,0,0,0.5,33
6,0,2.2516291673878226,0,0,1,4,0,0.167,-1
6,2,2.584962500721156,6762,912,0,1,0,0.333,374
8,2,2.5,9614,247,0,0,0,0.667,138
12,2,3.0220552088742005,4386,2553,0,0,0,0.4,68
9,0,2.94770277922009,7647,3309,0,0,0,0.667,50
9,0,2.6416041678685933,7025,279,0,0,0,0.667,295
3,2,1.584962500721156,0,0,0,0,0,0.4,223
12,0,3.0220552088742,0,0,1,0,0,0.5,-1
4,2,2.0,9090,40,0,0,0,0.444,31
5,2,2.321928094887362,0,0,0,0,0,0.462,42
9,1,2.94770277922009,2731,190,0,0,0,0.4,31
4,1,2.0,4578,1265,0,0,0,0.444,54
9,1,2.725480556997868,234,130,0,1,0,0.333,73
17,1,3.6901165175936654,0,0,0,0,0,0.667,-1
8,3,2.75,3729,1749,0,0,0,0.444,20
6,0,2.2516291673878226,3019,633,0,0,0,0.333,26
3,0,1.584962500721156,11077,244,0,0,0,0.25,53
9,1,2.725480556997868,8174,226,0,0,0,0.571,18
11,15,3.095795255000934,0,0,0,0,0,0.4,14
10,1,2.846439344671015,0,0,0,0,0,0.667,-1
24,2,4.16829583405449,156,208,0,14,0,0.5,-1
12,3,2.8553885422075336,8654,842,0,0,0,0.667,257
11,2,3.095795255000934,2254,302,0,0,0,0.6,5
9,0,2.94770277922009,3727,290,0,0,0,0.667,183
9,0,2.94770277922009,7576,93,0,0,0,0.4,254
2,0,1.0,10020,205,0,0,0,0.222,321
9,1,2.725480556997868,7875,159,0,0,0,0.6,3
2,0,1.0,9153,0,0,0,0,0.4,21
5,2,2.321928094887362,0,0,0,0,0,0.462,42
9,1,2.94770277922009,5755,88,0,0,0,0.667,19
10,2,2.721928094887362,5322,158,0,0,0,0.667,197
19,1,3.5368867237421666,7206,98,0,0,0,0.667,304
6,0,2.2516291673878226,0,0,0,0,0,0.6,82
4,0,2.0,980,115,0,0,0,0.4,47
12,1,3.418295834054489,10705,738,0,0,0,0.6,4
7,3,1.950212064914747,8067,2525,0,0,0,0.6,47
7,0,2.807354922057604,5957,251,0,0,0,0.4,26
6,1,2.584962500721156,4641,471,0,0,0,0.364,30
3,0,1.584962500721156,3686,331,0,0,0,0.5,-1
4,0,2.0,3267,384,0,0,0,0.4,175
3,0,1.584962500721156,3686,331,0,0,0,0.5,-1
6,0,1.4591479170272448,10816,141,0,0,0,0.667,264
6,0,2.2516291673878226,196,168,0,0,0,0.4,21
12,0,3.0220552088742,0,0,0,0,0,0.667,76
9,0,2.6416041678685938,144,220,0,3,0,0.333,-1
8,1,2.75,0,1838,0,0,0,0.857,2
4,0,2.0,3267,384,0,0,0,0.4,175
7,0,2.807354922057604,8700,3352,0,0,0,0.5,56
7,0,2.5216406363433186,5745,98,0,0,0,0.5,55
9,2,2.94770277922009,7355,314,0,0,0,0.5,10
16,2,3.25,1513,312,0,0,0,0.5,44
15,0,2.872905595320056,0,0,0,12,0,0.0,-1
6,0,2.584962500721156,8996,0,0,0,0,0.429,-1
6,1,2.2516291673878226,9416,3002,0,0,0,0.5,63
5,3,1.9219280948873625,5404,439,0,0,0,0.333,14
7,1,2.5216406363433186,0,0,0,0,0,0.333,270
4,0,1.5,1500,690,0,0,0,0.4,63
16,0,3.5,2466,90,0,0,0,0.444,-1
4,3,2.0,3759,258,0,0,0,0.444,301
12,0,2.8553885422075336,4091,291,0,0,0,0.667,26
12,0,3.2516291673878226,10223,2559,0,0,0,0.6,43
16,1,3.327819531114783,56,308,0,2,0,0.6,-1
13,0,2.931208948910323,1087,373,0,0,0,0.667,44
18,2,3.419381945646371,0,0,0,1,0,0.667,-1
5,0,2.321928094887362,6943,361,0,0,0,0.4,302
13,1,2.5654483718208256,0,0,0,10,0,0.0,-1
3,0,1.584962500721156,0,0,0,0,0,0.4,43
7,0,2.807354922057604,7652,747,0,0,0,0.5,15
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
2,1,1.0,5964,244,0,0,0,0.4,-1
11,3,2.6635327548042547,8004,274,0,0,0,0.5,1
9,1,3.169925001442312,12952,560,0,0,0,0.4,112
14,0,2.5027361715940035,0,0,0,11,0,0.0,-1
10,0,3.321928094887362,7935,0,0,0,0,0.667,51
10,0,2.5219280948873624,3327,324,0,0,0,0.429,28
13,0,3.3927474104487847,9459,767,0,0,0,0.667,22
7,0,2.5216406363433186,4581,897,0,0,0,0.4,33
13,3,3.180832987205441,5050,63,0,0,0,0.667,-1
5,0,2.321928094887362,0,0,0,1,0,0.364,-1
12,0,3.0220552088742,0,0,0,0,0,0.6,-1
7,0,2.807354922057604,1369,91,0,0,0,0.667,229
8,3,2.75,10538,52,0,0,0,0.5,13
7,3,2.1280852788913944,329,1861,0,1,0,0.333,-1
15,16,3.056564762130954,9473,23,0,0,0,0.5,100
6,0,2.584962500721156,10750,0,0,0,0,0.429,2
11,2,2.913977073182752,4785,327,0,0,0,0.667,43
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
5,2,1.9219280948873625,2040,150,0,0,0,0.545,0
7,0,2.5216406363433186,4581,897,0,0,0,0.4,33
29,2,3.745406425938248,42,322,0,0,0,0.5,-1
9,1,2.94770277922009,12623,161,0,0,1,1.0,70
17,0,3.572469458770136,3193,93,0,0,0,0.667,11
15,1,3.32323142879762,0,0,0,0,0,0.667,38
8,1,2.5,6165,408,0,0,0,0.429,41
12,1,3.0220552088742005,4386,2553,0,0,0,0.4,68
7,8,2.5216406363433186,4581,897,0,0,0,0.4,33
9,2,3.169925001442312,9180,314,0,2,0,0.4,82
9,0,2.725480556997868,0,0,0,0,0,0.4,56
12,1,3.0220552088742005,4386,2553,0,0,0,0.4,68
7,2,2.1280852788913944,7562,107,0,0,0,0.6,22
18,3,3.419381945646371,3244,407,0,0,0,0.667,34
19,0,3.576617644908665,4612,135,0,0,0,0.667,47
3,0,1.584962500721156,6592,347,0,0,0,0.5,26
7,1,2.5216406363433186,0,0,0,0,0,0.533,75
8,2,2.5,7339,330,0,0,0,0.667,0
7,0,2.5216406363433186,4606,1237,0,0,0,0.4,-1
15,0,2.606238928653389,0,0,0,12,0,0.0,-1
6,0,2.2516291673878226,9770,91,0,0,0,0.667,44
5,0,1.9219280948873625,0,0,0,0,0,0.4,-1
15,1,3.773557262275185,54,311,0,6,0,0.5,-1
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
5,0,2.321928094887362,2987,664,0,0,0,0.5,32
7,1,2.807354922057604,287,78,0,0,0,0.4,-1
13,1,2.7192945256669794,5425,53,0,0,0,0.5,19
25,1,3.893660689688185,56,309,0,6,0,0.6,-1
7,1,2.5216406363433186,4606,1237,0,0,0,0.4,64
5,1,2.321928094887362,0,0,0,0,0,0.462,42
9,7,2.94770277922009,304,60,0,0,0,0.429,56
6,2,1.918295834054489,10302,1019,0,0,1,1.0,22
9,3,2.725480556997868,3707,1771,0,0,0,0.6,0
10,3,2.721928094887362,10014,1307,0,0,0,0.429,5
5,0,2.321928094887362,4782,695,0,1,0,0.333,10
22,2,3.42511855035714,96,268,0,0,0,0.6,55
2,1,1.0,9378,129,0,0,0,0.4,328
11,0,3.0957952550009344,10670,285,0,1,0,0.5,23
7,0,2.521640636343318,4255,1953,0,0,0,0.533,27
6,0,2.2516291673878226,939,156,0,5,0,0.333,31
12,2,3.084962500721156,3585,67,0,0,0,0.667,-1
7,0,2.807354922057604,12366,51,0,0,0,0.6,146
16,5,3.1556390622295662,5218,260,0,0,0,0.6,35
10,0,2.4464393446710155,9935,290,0,0,0,0.667,115
24,0,3.740601562950723,0,0,1,8,0,0.625,-1
7,0,2.5216406363433186,10665,1386,0,0,0,0.4,46
12,0,3.584962500721156,968,858,0,0,0,0.6,37
3,5,1.584962500721156,10625,343,0,0,0,0.5,56
7,1,2.5216406363433186,2544,2569,0,0,0,0.333,-1
2,1,1.0,0,0,0,1,0,0.286,-1
3,2,1.584962500721156,3608,43,0,0,0,0.364,209
6,3,2.584962500721156,4641,471,0,0,0,0.364,30
13,3,3.238901256602631,9181,2140,0,0,0,0.8,22
4,1,2.0,9073,57,0,0,0,0.444,292
7,0,2.235926350629033,9762,281,0,0,0,0.6,28
7,0,2.1280852788913944,4750,362,0,0,0,0.4,61
7,0,2.5216406363433186,4581,897,0,0,0,0.4,33
8,0,2.75,9756,105,0,0,0,0.5,25
15,3,3.32323142879762,960,500,0,0,0,0.625,237
6,0,2.2516291673878226,0,0,0,0,0,0.429,4
10,0,2.646439344671016,5796,90,0,0,0,0.5,81
6,1,2.584962500721156,4641,471,0,0,0,0.364,30
7,0,2.5216406363433186,5947,261,0,0,0,0.5,49
7,1,2.5216406363433186,4581,897,0,0,0,0.4,33
2,1,1.0,0,0,0,1,0,0.286,-1
7,0,2.5216406363433186,4581,897,0,0,0,0.4,33
5,4,2.321928094887362,0,0,0,0,0,0.462,42
4,0,2.0,0,0,0,0,0,0.333,-1
5,1,2.321928094887362,10166,59,0,0,0,0.4,50
6,0,2.584962500721156,4641,471,0,0,0,0.364,30
17,1,3.219528282299548,1955,235,0,0,0,0.5,29
4,0,1.5,6074,134,0,0,0,0.667,216
13,0,3.3927474104487847,7458,211,0,0,0,0.667,15
12,0,3.188721875540867,268,96,0,0,0,0.6,-1
7,5,2.235926350629033,8955,175,0,0,0,0.8,261
11,0,2.913977073182752,4785,327,0,0,0,0.667,43
7,0,2.5216406363433186,112,252,0,0,0,0.333,-1
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
12,1,2.8553885422075336,11345,341,0,0,0,0.667,13
9,0,2.419381945646371,9739,122,0,0,0,0.375,2
7,0,2.5216406363433186,7317,3274,0,0,0,0.4,27
7,0,2.521640636343318,6359,214,0,0,0,0.4,50
10,0,3.121928094887362,1380,810,0,0,0,0.5,2
3,0,1.584962500721156,6397,2368,0,0,0,0.364,37
11,0,3.2776134368191165,5117,2553,0,0,0,0.4,8
14,2,3.3248629576173565,0,0,0,0,0,0.5,49
3,1,1.584962500721156,0,0,0,0,0,0.333,6
9,0,2.419381945646371,115,250,0,9,0,0.0,25
7,0,2.5216406363433186,389,0,0,0,0,0.667,342
3,0,1.584962500721156,0,273,0,0,0,0.333,47
8,0,3.0,10462,130,0,0,0,0.6,2
8,1,2.75,6975,329,0,0,0,0.6,33
10,0,2.646439344671016,7227,77,0,0,0,0.5,208
9,1,2.94770277922009,0,0,0,0,0,0.667,-1
5,2,1.9219280948873625,5553,3212,0,0,0,0.5,35
9,2,2.94770277922009,3261,755,0,0,0,0.429,14
2,1,1.0,0,0,0,1,0,0.286,-1
13,2,3.180832987205441,3482,1265,0,3,0,0.625,-1
4,0,2.0,0,0,0,0,0,0.4,28
8,0,2.75,0,0,0,0,0,0.5,22
13,0,3.5465935642949384,0,0,0,0,0,0.333,-1
27,2,3.926571651178275,51,313,0,4,0,0.5,-1
20,0,3.446439344671015,0,0,0,0,0,0.667,-1
12,0,2.6258145836939115,0,0,0,0,0,0.5,-1
5,0,2.321928094887362,9331,895,0,0,0,0.615,49
8,1,2.1556390622295662,10540,615,0,0,0,0.5,300
6,2,2.2516291673878226,0,0,0,0,0,0.429,281
7,0,2.5216406363433186,4606,1237,0,0,0,0.4,-1
6,0,2.251629167387823,904,191,0,5,0,0.143,-1
8,0,2.75,6077,131,0,0,0,0.667,37
12,2,2.688721875540867,6772,531,0,0,0,0.667,12
6,0,2.584962500721156,43,322,0,0,0,0.667,-1
3,3,1.584962500721156,0,0,0,0,0,0.4,223
12,0,3.0220552088742005,4386,2553,0,0,0,0.4,68
3,0,1.584962500721156,11862,250,0,0,0,0.333,50
18,0,3.5724312513221195,8619,146,0,0,0,0.625,46
8,1,3.0,0,0,0,0,0,0.667,217
7,1,2.5216406363433186,10539,1512,0,0,0,0.667,204
10,0,2.9219280948873623,0,0,0,4,0,0.4,-1
6,0,1.7924812503605778,10032,0,0,0,0,0.364,22
11,0,2.8453509366224368,0,0,0,0,0,0.5,6
15,0,3.456564762130954,110,254,0,0,0,0.667,-1
3,0,1.584962500721156,0,0,0,0,0,0.364,0
13,5,3.3927474104487847,3783,599,0,0,0,0.667,38
11,1,3.0957952550009344,0,0,1,0,0,0.5,-1
21,5,3.403989446485261,0,0,1,0,0,0.571,-1
7,0,2.807354922057604,1061,34,0,0,0,0.429,31
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
10,1,3.121928094887362,4964,148,0,0,0,0.5,37
16,2,3.452819531114783,383,346,0,0,0,0.667,-1
4,0,2.0,9234,328,0,0,0,0.364,-1
4,1,1.5,12673,250,0,0,0,0.333,258
9,1,3.169925001442312,9298,197,0,0,0,0.429,71
13,1,3.180832987205441,3482,1265,0,3,0,0.625,-1
8,10,2.75,5687,1617,0,0,0,0.667,41
9,0,2.725480556997868,2464,92,0,0,0,0.667,32
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
6,0,2.2516291673878226,5734,3031,0,0,0,0.4,42
4,0,2.0,4207,175,0,0,0,0.4,40
5,2,2.321928094887362,0,0,0,0,0,0.462,42
5,0,2.321928094887362,4137,245,0,0,0,0.4,93
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
10,1,3.321928094887362,3166,484,0,0,0,0.667,6
3,0,1.584962500721156,3686,331,0,0,0,0.5,-1
12,2,3.084962500721156,6049,159,0,0,0,0.667,3
7,1,2.5216406363433186,4581,897,0,0,0,0.4,33
12,2,3.2516291673878226,10901,57,0,0,0,0.667,32
4,2,2.0,0,0,0,1,0,0.444,-1
11,1,3.0957952550009344,2123,68,0,0,0,0.4,25
7,0,2.235926350629033,4530,582,0,0,0,0.4,10
10,0,2.721928094887362,0,0,0,0,0,0.667,-1
8,0,2.1556390622295662,10890,255,0,0,0,0.4,29
15,2,3.0565647621309537,0,0,0,0,0,0.667,-1
8,0,2.4056390622295662,0,0,0,0,0,0.667,-1
9,0,2.9477027792200903,1220,240,0,0,0,0.4,30
9,0,2.94770277922009,0,0,0,2,0,0.4,44
7,0,2.5216406363433186,0,0,0,0,0,0.4,0
9,0,2.6416041678685933,3254,32,0,0,0,0.4,-1
10,12,2.4464393446710155,1976,214,0,0,0,0.6,-1
3,0,1.584962500721156,6397,2368,0,0,0,0.364,37
14,0,3.3248629576173574,9247,556,0,0,0,0.556,28
4,0,1.5,11093,2420,0,0,0,0.444,17
17,0,3.169248695695233,990,1201,0,0,0,0.8,32
9,1,2.725480556997868,4397,350,0,0,0,0.667,22
5,0,2.321928094887362,5270,1304,0,0,0,0.4,16
3,0,1.584962500721156,8220,0,0,0,0,0.4,32
15,0,3.373557262275185,98,266,0,0,0,0.4,54
5,1,2.321928094887362,8838,1388,0,0,0,0.4,18
5,0,2.321928094887362,0,0,0,0,0,0.462,42
8,0,2.75,6227,267,0,2,0,0.4,16
5,1,1.9219280948873625,0,0,0,0,0,0.6,-1
8,1,2.75,5049,2621,0,0,0,0.5,-1
12,0,3.584962500721156,0,0,0,0,0,0.5,-1
3,0,1.584962500721156,0,0,0,0,0,0.4,43
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
12,0,3.584962500721156,2066,124,0,2,0,0.429,317
9,0,2.94770277922009,9150,1806,0,0,0,0.667,349
6,0,2.584962500721156,9871,354,0,0,0,0.4,21
22,1,3.879664004902593,176,188,0,0,0,0.667,-1
6,0,2.584962500721156,38,327,0,0,0,0.6,-1
6,0,2.2516291673878226,7178,126,0,0,0,0.333,24
9,3,2.725480556997868,10320,1366,0,0,0,0.667,75
6,1,2.2516291673878226,0,0,0,0,0,0.667,-1
8,0,2.75,5468,375,0,0,0,0.5,22
7,0,2.807354922057604,8758,762,0,2,0,0.667,54
6,0,2.2516291673878226,8072,693,0,0,0,0.455,46
4,0,1.5,8913,582,0,0,0,0.4,-1
6,2,2.584962500721156,4641,471,0,0,0,0.364,30
6,2,1.918295834054489,10302,1019,0,0,1,1.0,22
7,4,2.5216406363433186,4581,897,0,0,0,0.4,33
4,1,2.0,4336,775,0,0,0,0.444,378
12,2,3.084962500721156,2928,358,0,0,0,0.6,21
3,0,1.584962500721156,6397,2368,0,0,0,0.364,37
9,0,2.94770277922009,6496,78,0,0,0,0.4,16
10,0,3.121928094887362,65,299,0,1,0,0.4,61
7,0,2.521640636343318,4255,1953,0,0,0,0.533,27
4,0,1.5,8913,582,0,0,0,0.4,-1
9,1,2.94770277922009,3127,159,0,0,0,0.4,12
11,0,2.845350936622437,8789,706,0,1,0,0.667,39
6,0,2.584962500721156,4641,471,0,0,0,0.364,30
8,1,2.75,5049,2621,0,0,0,0.5,23
8,1,2.5,0,0,0,0,0,0.667,-1
4,2,2.0,11065,256,0,0,0,0.5,246
4,1,1.5,4138,244,0,0,0,0.333,2
10,0,3.321928094887362,69,295,0,6,0,0.4,-1
5,2,1.9219280948873625,10705,220,0,0,0,0.333,79
10,3,2.646439344671016,2272,285,0,0,0,0.5,-1
3,0,1.584962500721156,0,0,0,0,0,0.4,38
4,0,2.0,0,0,0,0,0,0.5,74
5,3,2.321928094887362,0,0,0,0,0,0.462,42
7,2,2.807354922057604,4916,196,0,0,0,0.4,233
6,3,2.2516291673878226,5402,76,0,0,0,0.429,55
7,3,2.5216406363433186,4581,897,0,0,0,0.4,33
5,1,2.321928094887362,0,0,0,0,0,0.364,56
4,0,1.5,0,0,0,0,0,0.444,-1
4,0,2.0,0,0,0,0,0,0.5,74
7,1,2.5216406363433186,10901,2024,0,0,0,0.667,6
3,0,1.584962500721156,0,0,0,0,0,0.222,296
8,1,2.75,10298,306,0,0,0,0.4,9
3,1,1.584962500721156,5043,2261,0,0,0,0.25,74
9,0,2.725480556997868,3084,1663,0,0,0,0.5,17
6,0,2.584962500721156,65,299,0,0,0,0.5,-1
7,2,2.807354922057604,14226,615,0,0,0,0.6,15
5,1,2.321928094887362,9632,229,0,0,0,0.4,45
9,1,2.6416041678685933,7823,211,0,0,0,0.667,-1
6,4,2.584962500721156,11267,56,0,0,0,0.667,329
7,6,2.5216406363433186,0,0,0,0,0,0.471,0
9,2,2.6416041678685933,7401,419,0,0,1,1.0,86
10,0,2.646439344671016,9459,37,0,0,0,0.6,71
12,18,3.0220552088742005,6472,466,0,0,0,0.429,15
6,2,1.918295834054489,10302,1019,0,0,1,1.0,22
6,2,2.584962500721156,2165,391,0,0,0,0.4,58
9,0,2.94770277922009,0,0,0,2,0,0.4,-1
6,0,1.918295834054489,8215,185,0,0,0,0.429,-1
4,0,2.0,0,0,0,0,0,0.5,74
11,1,3.0957952550009344,0,0,0,0,0,0.667,-1
11,1,3.0957952550009344,5168,310,0,0,0,0.375,39
11,1,2.550340709546388,2214,342,0,0,0,0.667,49
11,0,3.277613436819116,3032,254,0,0,0,0.5,42
6,0,2.251629167387823,4315,67,0,0,0,0.333,-1
10,1,2.921928094887362,0,0,0,0,0,0.4,14
9,0,2.6416041678685933,0,0,0,0,0,0.4,-1
8,0,2.75,0,0,0,0,0,0.5,22
13,9,3.238901256602631,4560,1283,0,0,0,0.5,391
4,1,2.0,3267,384,0,0,0,0.4,175
